timestamp,episode,rounds,winrate_p1,winrate_p2,avg_kills_p1,avg_kills_p2,avg_alive_p1,avg_alive_p2,avg_score_p1,avg_score_p2
1771526634,1,1,0.0000,1.0000,1.0000,3.0000,57.7333,58.0000,-807.2805,417.9873
1771526638,1,1,1.0000,0.0000,5.0000,1.0000,71.0667,70.5333,-741.6901,-554.5338
1771526639,1,1,0.0000,1.0000,0.0000,5.0000,28.8000,29.4667,-480.3823,438.4071
1771526639,1,1,1.0000,0.0000,4.0000,0.0000,57.8667,57.3333,142.2989,-1095.4634
1771526640,1,1,1.0000,0.0000,5.0000,2.0000,51.7333,51.3333,-492.3007,233.1037
1771526642,1,1,1.0000,0.0000,2.0000,2.0000,96.4000,96.4000,-1660.2258,-1065.2636
1771526642,1,1,1.0000,0.0000,4.0000,2.0000,78.6667,78.4000,-847.3316,-1284.1494
1771526643,1,1,0.0000,1.0000,1.0000,4.0000,54.5333,54.9333,-1183.4554,-387.2043
1771526644,1,1,0.0000,1.0000,1.0000,4.0000,60.8000,61.2000,-724.1125,693.6653
1771526647,1,1,0.0000,1.0000,0.0000,3.0000,69.2000,69.6000,-1355.9725,106.8527
